review,rating,date,source,url
Anyone watching in 2025 XD RAWR,,2025-12-03T19:48:19Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwBCLgbTyK8--KZ7Ix4AaABAg
"1:09 AJAAJAJJAJJAJAJAAAAAA,PINKKKKKKK!!!!!!!",,2025-12-11T20:44:22Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxUTAPDVocHYoJ-xQx4AaABAg
"I’m having 91,540 🎉😂",,2025-12-03T19:21:50Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyxYGiEPFs1_jMOfhZ4AaABAg
mine was linkin park,,2025-12-10T18:58:11Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugxqn04UO30Bwku6EYJ4AaABAg
"I listened to ""shut up"" by ariana grande 118 TIMES XDD",,2025-12-03T22:25:04Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwrrlwC3R6FBhcmi_l4AaABAg
Cench top 5 this year !!!!!!!,,2025-12-05T14:32:13Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzeJ4dC46ieBIQdcs54AaABAg
This JD Sports or Spotify? Can’t tell. It’s too “urban”…,,2025-12-12T19:13:16Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugww48AstakA-FbSMQp4AaABAg
I fear whoever made this did their big one but Daniel Ek did not.,,2025-12-04T20:34:35Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugw9GO9FjIHU0eIAnVl4AaABAg
Srsly who are any of these ppl,,2025-12-03T23:32:10Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugxww5O-A7BqSp3njZ54AaABAg
No Kendrick not imagine Drangons,,2025-12-05T22:44:27Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugwhp9EsePF0T5ix3g14AaABAg
Mine was Olivia Rodrigo Joshua basset Tate McRae Shawn Mendes Justun biber ❤❤,,2025-12-04T16:34:56Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwULeJTj3XGZ2uJFo94AaABAg
Central cee is da best,,2026-01-26T12:26:05Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyJSGjxsz3fSWexOth4AaABAg
Pinkpantheress made it,,2025-12-09T02:27:03Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwEuBZZwJTKn3FOThl4AaABAg
Connor price as my #1 artist of the year,,2025-12-05T21:40:44Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwU-TSjhgOCioCqhG94AaABAg
It’s been a pleasure working with you guys on this campaign🤍📸 pictures by Rosanna Elettra❤️❤️,,2025-12-04T03:17:29Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugx9fdo8nWgRmtktt7B4AaABAg
mine is 0.001 Aitch top fan,,2025-12-05T09:04:34Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxYk6C_EDWbJY7iQ8p4AaABAg
Where is Mariah Carey? 😭,,2025-12-03T15:07:44Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzcdixcTccXDJQatld4AaABAg
the views here is actually bought..,,2025-12-05T07:16:19Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzV4mhb5UbtI6ReYi54AaABAg
